"City","State","FIPS Code","Formatted FIPS","Affordable market share, as of 2018."
"Loda","IL","1744264","=""1744264""","N/A"
"Lomax","IL","1744381","=""1744381""","N/A"
"Lombard","IL","1744407","=""1744407""","4.53"
"London Mills","IL","1744446","=""1744446""","N/A"
"Long Creek","IL","1744498","=""1744498""","0.00"
"Long Grove","IL","1744524","=""1744524""","0.00"
"Long Lake","IL","1744550","=""1744550""","0.00"
"Long Point","IL","1744576","=""1744576""","N/A"
"Longview","IL","1744602","=""1744602""","N/A"
"Loraine","IL","1744719","=""1744719""","N/A"
"Lostant","IL","1744823","=""1744823""","N/A"
"Lost Nation","IL","1744836","=""1744836""","N/A"
"Louisville","IL","1744927","=""1744927""","26.77"
"Loves Park","IL","1745031","=""1745031""","16.34"
"Lovington","IL","1745044","=""1745044""","2.78"
"Ludlow","IL","1745174","=""1745174""","N/A"
"Lyndon","IL","1745278","=""1745278""","N/A"
"Lynnville","IL","1745369","=""1745369""","N/A"
"Lynwood","IL","1745421","=""1745421""","19.44"
"Lyons","IL","1745434","=""1745434""","10.37"
"McClure","IL","1745525","=""1745525""","N/A"
"McCook","IL","1745564","=""1745564""","N/A"
"McCullom Lake","IL","1745616","=""1745616""","0.00"
"Macedonia","IL","1745642","=""1745642""","N/A"
"McHenry","IL","1745694","=""1745694""","23.88"
"Machesney Park","IL","1745726","=""1745726""","3.79"
"Mackinaw","IL","1745785","=""1745785""","30.98"
"McLean","IL","1745811","=""1745811""","N/A"
"McLeansboro","IL","1745824","=""1745824""","43.78"
"McNabb","IL","1745850","=""1745850""","N/A"
"Macomb","IL","1745889","=""1745889""","34.87"
"Macon","IL","1745941","=""1745941""","19.54"
"Madison","IL","1745993","=""1745993""","29.78"
"Maeystown","IL","1746058","=""1746058""","N/A"
"Magnolia","IL","1746110","=""1746110""","N/A"
"Mahomet","IL","1746136","=""1746136""","0.79"
"Makanda","IL","1746214","=""1746214""","N/A"
"Malden","IL","1746240","=""1746240""","N/A"
"Malta","IL","1746279","=""1746279""","25.30"
"Manchester","IL","1746331","=""1746331""","N/A"
"Manhattan","IL","1746357","=""1746357""","0.00"
"Manito","IL","1746383","=""1746383""","12.06"
"Manlius","IL","1746422","=""1746422""","N/A"
"Mansfield","IL","1746487","=""1746487""","N/A"
"Manteno","IL","1746500","=""1746500""","5.32"
"Maple Park","IL","1746604","=""1746604""","0.00"
"Mapleton","IL","1746643","=""1746643""","N/A"
"Maquon","IL","1746695","=""1746695""","N/A"
"Marengo","IL","1746786","=""1746786""","0.00"
"Marietta","IL","1746825","=""1746825""","N/A"
"Marine","IL","1746864","=""1746864""","9.30"
"Marion","IL","1746916","=""1746916""","33.84"
"Marissa","IL","1746955","=""1746955""","16.32"
"Mark","IL","1746981","=""1746981""","N/A"
"Markham","IL","1747007","=""1747007""","0.00"
"Maroa","IL","1747072","=""1747072""","14.29"
"Marquette Heights","IL","1747111","=""1747111""","0.00"
"Marseilles","IL","1747150","=""1747150""","13.14"
"Marshall","IL","1747163","=""1747163""","19.38"
"Martinsville","IL","1747254","=""1747254""","52.50"
"Martinton","IL","1747280","=""1747280""","N/A"
"Maryville","IL","1747397","=""1747397""","14.69"
"Mascoutah","IL","1747423","=""1747423""","2.02"
"Mason","IL","1747449","=""1747449""","13.64"
"Mason City","IL","1747475","=""1747475""","N/A"
"Matherville","IL","1747527","=""1747527""","N/A"
"Matteson","IL","1747540","=""1747540""","37.98"
"Mattoon","IL","1747553","=""1747553""","38.06"
"Maunie","IL","1747592","=""1747592""","N/A"
"Maywood","IL","1747774","=""1747774""","33.28"
"Mazon","IL","1747787","=""1747787""","N/A"
"Mechanicsburg","IL","1748021","=""1748021""","N/A"
"Media","IL","1748073","=""1748073""","N/A"
"Medora","IL","1748138","=""1748138""","N/A"
"Melrose Park","IL","1748242","=""1748242""","5.90"
"Melvin","IL","1748268","=""1748268""","N/A"
"Mendon","IL","1748307","=""1748307""","N/A"
"Mendota","IL","1748333","=""1748333""","28.07"
"Menominee","IL","1748359","=""1748359""","N/A"
"Meredosia","IL","1748424","=""1748424""","0.00"
"Merrionette Park","IL","1748554","=""1748554""","0.00"
"Metamora","IL","1748606","=""1748606""","23.62"
"Metcalf","IL","1748632","=""1748632""","N/A"
"Metropolis","IL","1748645","=""1748645""","47.87"
"Mettawa","IL","1748671","=""1748671""","N/A"
"Middletown","IL","1748853","=""1748853""","N/A"
"Midlothian","IL","1748892","=""1748892""","7.95"
"Milan","IL","1749009","=""1749009""","84.89"
"Milford","IL","1749048","=""1749048""","2.62"
"Millbrook","IL","1749100","=""1749100""","N/A"
"Mill Creek","IL","1749178","=""1749178""","N/A"
"Milledgeville","IL","1749191","=""1749191""","50.00"
"Millington","IL","1749308","=""1749308""","N/A"
"Mill Shoals","IL","1749347","=""1749347""","N/A"
"Millstadt","IL","1749386","=""1749386""","0.00"
"Milton","IL","1749477","=""1749477""","N/A"
"Mineral","IL","1749516","=""1749516""","N/A"
"Minier","IL","1749555","=""1749555""","15.28"
"Minonk","IL","1749568","=""1749568""","0.00"
"Minooka","IL","1749607","=""1749607""","0.00"
"Mitchell","IL","1749698","=""1749698""","0.00"
"Modesto","IL","1749802","=""1749802""","N/A"
"Mokena","IL","1749854","=""1749854""","0.00"
"Moline","IL","1749867","=""1749867""","29.72"
"Momence","IL","1749893","=""1749893""","0.00"
"Monee","IL","1749945","=""1749945""","0.00"
"Monmouth","IL","1750010","=""1750010""","27.44"
"Monroe Center","IL","1750062","=""1750062""","N/A"
"Montgomery","IL","1750218","=""1750218""","9.03"
"Monticello","IL","1750244","=""1750244""","5.24"
"Montrose","IL","1750283","=""1750283""","N/A"
"Morris","IL","1750491","=""1750491""","26.95"
"Morrison","IL","1750530","=""1750530""","7.16"
"Morrisonville","IL","1750543","=""1750543""","N/A"
"Morton","IL","1750621","=""1750621""","41.64"
"Morton Grove","IL","1750647","=""1750647""","N/A"
"Mound City","IL","1750751","=""1750751""","N/A"
"Mounds","IL","1750777","=""1750777""","0.00"
"Mound Station","IL","1750790","=""1750790""","N/A"
"Mount Auburn","IL","1750829","=""1750829""","N/A"
"Mount Carmel","IL","1750868","=""1750868""","18.42"
"Mount Carroll","IL","1750881","=""1750881""","26.18"
"Mount Clare","IL","1750920","=""1750920""","N/A"
"Mount Erie","IL","1750933","=""1750933""","N/A"
"Mount Morris","IL","1750998","=""1750998""","34.35"
"Mount Olive","IL","1751024","=""1751024""","39.60"
"Mount Prospect","IL","1751089","=""1751089""","N/A"
"Mount Pulaski","IL","1751128","=""1751128""","13.39"
"Mount Sterling","IL","1751154","=""1751154""","56.65"
"Mount Vernon","IL","1751180","=""1751180""","45.08"
"Mount Zion","IL","1751206","=""1751206""","2.99"
"Moweaqua","IL","1751232","=""1751232""","23.59"
"Muddy","IL","1751271","=""1751271""","N/A"
"Mulberry Grove","IL","1751284","=""1751284""","N/A"
"Mulkeytown","IL","1751310","=""1751310""","N/A"
"Muncie","IL","1751336","=""1751336""","N/A"
"Mundelein","IL","1751349","=""1751349""","5.55"
"Murphysboro","IL","1751453","=""1751453""","2.97"
"Murrayville","IL","1751479","=""1751479""","N/A"
"Naperville","IL","1751622","=""1751622""","N/A"
"Naplate","IL","1751648","=""1751648""","N/A"
"Naples","IL","1751661","=""1751661""","N/A"
"Nashville","IL","1751700","=""1751700""","15.62"
"Nason","IL","1751726","=""1751726""","N/A"
"Nauvoo","IL","1751791","=""1751791""","8.16"
"Nebo","IL","1751882","=""1751882""","N/A"
"Nelson","IL","1751947","=""1751947""","N/A"
"Neoga","IL","1751986","=""1751986""","8.89"
"Neponset","IL","1751999","=""1751999""","N/A"
"Newark","IL","1752103","=""1752103""","21.74"
"New Athens","IL","1752116","=""1752116""","0.00"
"New Baden","IL","1752142","=""1752142""","8.64"
"New Bedford","IL","1752155","=""1752155""","N/A"
"New Berlin","IL","1752168","=""1752168""","25.00"
"New Boston","IL","1752220","=""1752220""","N/A"
"New Burnside","IL","1752285","=""1752285""","N/A"
"New Canton","IL","1752311","=""1752311""","N/A"
"New Douglas","IL","1752415","=""1752415""","N/A"
"New Grand Chain","IL","1752467","=""1752467""","N/A"
"New Haven","IL","1752506","=""1752506""","N/A"
"New Holland","IL","1752545","=""1752545""","N/A"
"New Lenox","IL","1752584","=""1752584""","4.94"
"Newman","IL","1752623","=""1752623""","N/A"
"New Milford","IL","1752701","=""1752701""","N/A"
"New Minden","IL","1752714","=""1752714""","N/A"
"New Salem","IL","1752805","=""1752805""","N/A"
"Newton","IL","1752844","=""1752844""","13.99"
"Niantic","IL","1752961","=""1752961""","N/A"
"Niles","IL","1753000","=""1753000""","15.78"
"Nilwood","IL","1753039","=""1753039""","N/A"
"Noble","IL","1753143","=""1753143""","N/A"
"Nokomis","IL","1753169","=""1753169""","16.57"
"Nora","IL","1753195","=""1753195""","N/A"
"Normal","IL","1753234","=""1753234""","N/A"
"Norridge","IL","1753377","=""1753377""","0.00"
"Norris","IL","1753390","=""1753390""","30.39"
"Norris City","IL","1753403","=""1753403""","N/A"
"North Aurora","IL","1753442","=""1753442""","6.76"
"North Barrington","IL","1753455","=""1753455""","0.00"
"Northbrook","IL","1753481","=""1753481""","0.06"
"North Chicago","IL","1753559","=""1753559""","30.24"
"North City","IL","1753585","=""1753585""","N/A"
"Northfield","IL","1753663","=""1753663""","0.36"
"North Henderson","IL","1753793","=""1753793""","N/A"
"Northlake","IL","1753871","=""1753871""","10.83"
"North Pekin","IL","1754092","=""1754092""","0.00"
"North Riverside","IL","1754144","=""1754144""","0.00"
"North Utica","IL","1754222","=""1754222""","0.00"
"Norwood","IL","1754404","=""1754404""","N/A"
"Oak Brook","IL","1754534","=""1754534""","8.33"
"Oakbrook Terrace","IL","1754560","=""1754560""","0.00"
"Oakdale","IL","1754586","=""1754586""","N/A"
"Oakford","IL","1754625","=""1754625""","N/A"
"Oak Forest","IL","1754638","=""1754638""","0.00"
"Oak Grove","IL","1754703","=""1754703""","N/A"
"Oakland","IL","1754781","=""1754781""","N/A"
"Oak Lawn","IL","1754820","=""1754820""","N/A"
"Oak Park","IL","1754885","=""1754885""","N/A"
"Oak Run","IL","1754924","=""1754924""","N/A"
"Oakwood","IL","1755002","=""1755002""","N/A"
"Oakwood Hills","IL","1755041","=""1755041""","0.00"
"Oblong","IL","1755106","=""1755106""","13.64"
"Oconee","IL","1755132","=""1755132""","N/A"
"Odell","IL","1755171","=""1755171""","N/A"
"Odin","IL","1755210","=""1755210""","0.00"
"O'Fallon","IL","1755249","=""1755249""","24.16"
"Ogden","IL","1755275","=""1755275""","N/A"
"Oglesby","IL","1755353","=""1755353""","28.54"
"Ohio","IL","1755379","=""1755379""","N/A"
"Ohlman","IL","1755418","=""1755418""","N/A"
"Okawville","IL","1755470","=""1755470""","17.53"
"Old Mill Creek","IL","1755639","=""1755639""","N/A"
"Old Ripley","IL","1755717","=""1755717""","N/A"
"Old Shawneetown","IL","1755756","=""1755756""","N/A"
"Olive Branch","IL","1755847","=""1755847""","N/A"
"Olivet","IL","1755886","=""1755886""","N/A"
"Olmsted","IL","1755899","=""1755899""","N/A"
"Olney","IL","1755912","=""1755912""","27.09"
"Olympia Fields","IL","1755938","=""1755938""","0.00"
"Omaha","IL","1756003","=""1756003""","N/A"
"Onarga","IL","1756081","=""1756081""","0.00"
"Oneida","IL","1756159","=""1756159""","N/A"
"Opdyke","IL","1756198","=""1756198""","N/A"
"Oquawka","IL","1756237","=""1756237""","15.85"
"Orangeville","IL","1756341","=""1756341""","N/A"
"Oreana","IL","1756471","=""1756471""","N/A"
"Oregon","IL","1756484","=""1756484""","3.20"
"Orient","IL","1756536","=""1756536""","N/A"
"Orion","IL","1756601","=""1756601""","0.00"
"Orland Hills","IL","1756627","=""1756627""","80.00"
"Orland Park","IL","1756640","=""1756640""","N/A"
"Oswego","IL","1756887","=""1756887""","13.67"
"Ottawa","IL","1756926","=""1756926""","32.62"
"Otterville","IL","1756978","=""1756978""","N/A"
"Owaneco","IL","1757043","=""1757043""","N/A"
"Paderborn","IL","1757160","=""1757160""","N/A"
"Palatine","IL","1757225","=""1757225""","N/A"
"Palestine","IL","1757277","=""1757277""","0.00"
"Palmer","IL","1757303","=""1757303""","N/A"
"Palmyra","IL","1757329","=""1757329""","N/A"
"Palos Heights","IL","1757381","=""1757381""","0.00"
"Palos Hills","IL","1757394","=""1757394""","0.00"
"Palos Park","IL","1757407","=""1757407""","66.80"
"Pana","IL","1757472","=""1757472""","53.92"
"Panama","IL","1757498","=""1757498""","N/A"
"Panola","IL","1757524","=""1757524""","N/A"
"Papineau","IL","1757576","=""1757576""","N/A"
"Paris","IL","1757628","=""1757628""","25.78"
"Park City","IL","1757654","=""1757654""","22.56"
"Parkersburg","IL","1757693","=""1757693""","N/A"
"Park Forest","IL","1757732","=""1757732""","31.12"
"Park Ridge","IL","1757875","=""1757875""","0.00"
"Patoka","IL","1758057","=""1758057""","N/A"
"Pawnee","IL","1758174","=""1758174""","17.29"
"Paw Paw","IL","1758226","=""1758226""","N/A"
"Paxton","IL","1758239","=""1758239""","30.18"
"Payson","IL","1758265","=""1758265""","0.00"
"Pearl","IL","1758343","=""1758343""","N/A"
"Pearl City","IL","1758369","=""1758369""","N/A"
"Pecatonica","IL","1758408","=""1758408""","35.38"
"Pekin","IL","1758447","=""1758447""","44.45"
"Penfield","IL","1758577","=""1758577""","N/A"
"Peoria","IL","1759000","=""1759000""","N/A"
"Peoria Heights","IL","1759026","=""1759026""","11.48"
"Peotone","IL","1759052","=""1759052""","0.00"
"Percy","IL","1759104","=""1759104""","N/A"
"Perry","IL","1759156","=""1759156""","N/A"
"Peru","IL","1759234","=""1759234""","14.26"
"Pesotum","IL","1759273","=""1759273""","N/A"
"Petersburg","IL","1759312","=""1759312""","59.52"
"Phillipstown","IL","1759520","=""1759520""","N/A"
"Philo","IL","1759533","=""1759533""","0.00"
"Phoenix","IL","1759572","=""1759572""","22.17"
"Pierron","IL","1759709","=""1759709""","N/A"
"Pinckneyville","IL","1759884","=""1759884""","26.56"
"Pingree Grove","IL","1759988","=""1759988""","0.00"
"Piper City","IL","1760079","=""1760079""","N/A"
"Pistakee Highlands","IL","1760144","=""1760144""","0.00"
"Pittsburg","IL","1760209","=""1760209""","N/A"
"Pittsfield","IL","1760222","=""1760222""","25.60"
"Plainfield","IL","1760287","=""1760287""","5.97"
"Plainville","IL","1760339","=""1760339""","N/A"
"Plano","IL","1760352","=""1760352""","11.47"
"Plattville","IL","1760391","=""1760391""","N/A"
"Pleasant Hill","IL","1760534","=""1760534""","0.00"
"Pleasant Plains","IL","1760599","=""1760599""","N/A"
"Plymouth","IL","1760833","=""1760833""","N/A"
"Pocahontas","IL","1760872","=""1760872""","N/A"
"Polo","IL","1760937","=""1760937""","0.00"
"Pontiac","IL","1761015","=""1761015""","36.98"
"Pontoon Beach","IL","1761067","=""1761067""","0.00"
"Pontoosuc","IL","1761080","=""1761080""","N/A"
"Poplar Grove","IL","1761145","=""1761145""","0.00"
"Port Barrington","IL","1761216","=""1761216""","0.00"
"Port Byron","IL","1761223","=""1761223""","82.14"
"Posen","IL","1761314","=""1761314""","0.00"
"Potomac","IL","1761366","=""1761366""","N/A"
"Prairie City","IL","1761548","=""1761548""","N/A"
"Prairie du Rocher","IL","1761639","=""1761639""","N/A"
"Prairie Grove","IL","1761678","=""1761678""","0.00"
"Prestbury","IL","1761821","=""1761821""","0.00"
"Preston Heights","IL","1761860","=""1761860""","0.00"
"Princeton","IL","1761899","=""1761899""","25.55"
"Princeville","IL","1761925","=""1761925""","0.00"
"Prophetstown","IL","1761977","=""1761977""","30.58"
"Prospect Heights","IL","1762016","=""1762016""","0.00"
"Pulaski","IL","1762211","=""1762211""","N/A"
"Quincy","IL","1762367","=""1762367""","31.22"
"Radom","IL","1762523","=""1762523""","N/A"
"Raleigh","IL","1762588","=""1762588""","N/A"
"Ramsey","IL","1762627","=""1762627""","20.93"
"Rankin","IL","1762744","=""1762744""","N/A"
"Ransom","IL","1762757","=""1762757""","N/A"
"Rantoul","IL","1762783","=""1762783""","5.14"
"Rapids City","IL","1762822","=""1762822""","N/A"
"Raritan","IL","1762848","=""1762848""","N/A"
"Raymond","IL","1762965","=""1762965""","N/A"
"Red Bud","IL","1763043","=""1763043""","25.79"
"Reddick","IL","1763056","=""1763056""","N/A"
"Redmon","IL","1763069","=""1763069""","N/A"
"Rentchler","IL","1763355","=""1763355""","N/A"
"Reynolds","IL","1763420","=""1763420""","N/A"
"Richmond","IL","1763641","=""1763641""","5.10"
"Richton Park","IL","1763706","=""1763706""","30.12"
"Richview","IL","1763719","=""1763719""","N/A"
"Ridge Farm","IL","1763862","=""1763862""","N/A"
"Ridgway","IL","1764018","=""1764018""","N/A"
"Ridott","IL","1764044","=""1764044""","N/A"
"Ringwood","IL","1764135","=""1764135""","N/A"
"Rio","IL","1764148","=""1764148""","N/A"
"Ripley","IL","1764174","=""1764174""","N/A"
"Riverdale","IL","1764278","=""1764278""","4.38"
"River Forest","IL","1764304","=""1764304""","0.00"
"River Grove","IL","1764343","=""1764343""","0.00"
"Riverside","IL","1764421","=""1764421""","0.00"
"Riverton","IL","1764486","=""1764486""","2.21"
"Riverwoods","IL","1764538","=""1764538""","0.00"
"Roanoke","IL","1764590","=""1764590""","0.00"
"Robbins","IL","1764616","=""1764616""","53.24"
"Roberts","IL","1764655","=""1764655""","N/A"
"Robinson","IL","1764707","=""1764707""","17.58"
"Rochelle","IL","1764746","=""1764746""","33.21"
"Rochester","IL","1764759","=""1764759""","27.12"
"Rockbridge","IL","1764811","=""1764811""","N/A"
"Rock City","IL","1764837","=""1764837""","N/A"
"Rockdale","IL","1764902","=""1764902""","0.00"
"Rock Falls","IL","1764928","=""1764928""","49.96"
"Rockford","IL","1765000","=""1765000""","N/A"
"Rock Island","IL","1765078","=""1765078""","56.11"
"Rock Island Arsenal","IL","1765104","=""1765104""","N/A"
"Rockton","IL","1765156","=""1765156""","24.46"
"Rockwood","IL","1765221","=""1765221""","N/A"
"Rolling Meadows","IL","1765338","=""1765338""","18.63"
"Rome","IL","1765403","=""1765403""","0.00"
"Romeoville","IL","1765442","=""1765442""","11.56"
"Roodhouse","IL","1765481","=""1765481""","1.24"
"Roscoe","IL","1765611","=""1765611""","0.00"
"Rose Hill","IL","1765754","=""1765754""","N/A"
"Roselle","IL","1765806","=""1765806""","25.93"
"Rosemont","IL","1765819","=""1765819""","0.00"
"Roseville","IL","1765845","=""1765845""","5.56"
"Rosewood Heights","IL","1765884","=""1765884""","0.00"
"Rosiclare","IL","1765897","=""1765897""","N/A"
"Rossville","IL","1765962","=""1765962""","23.56"
"Round Lake","IL","1766027","=""1766027""","N/A"
"Round Lake Beach","IL","1766040","=""1766040""","38.50"
"Round Lake Heights","IL","1766053","=""1766053""","0.00"
"Round Lake Park","IL","1766066","=""1766066""","0.00"
"Roxana","IL","1766131","=""1766131""","0.00"
"Royal","IL","1766157","=""1766157""","N/A"
"Royal Lakes","IL","1766196","=""1766196""","N/A"
"Royalton","IL","1766209","=""1766209""","0.00"
"Ruma","IL","1766287","=""1766287""","N/A"
"Rushville","IL","1766339","=""1766339""","11.40"
"Russellville","IL","1766404","=""1766404""","N/A"
"Rutland","IL","1766443","=""1766443""","N/A"
"Sadorus","IL","1766534","=""1766534""","N/A"
"Sailor Springs","IL","1766599","=""1766599""","N/A"
"St. Anne","IL","1766638","=""1766638""","16.10"
"St. Augustine","IL","1766677","=""1766677""","N/A"
"St. Charles","IL","1766703","=""1766703""","17.57"
"St. David","IL","1766768","=""1766768""","N/A"
"St. Elmo","IL","1766794","=""1766794""","8.55"
"Ste. Marie","IL","1766800","=""1766800""","N/A"
"St. Francisville","IL","1766833","=""1766833""","N/A"
"St. Jacob","IL","1766859","=""1766859""","19.30"
"St. Johns","IL","1766924","=""1766924""","N/A"
"St. Joseph","IL","1766950","=""1766950""","16.61"
"St. Libory","IL","1766989","=""1766989""","N/A"
"St. Peter","IL","1767132","=""1767132""","N/A"
"Salem","IL","1767236","=""1767236""","24.96"
"Sammons Point","IL","1767372","=""1767372""","N/A"
"Sandoval","IL","1767444","=""1767444""","47.47"
"Sandwich","IL","1767548","=""1767548""","0.00"
"San Jose","IL","1767613","=""1767613""","N/A"
"Sauget","IL","1767756","=""1767756""","N/A"
"Sauk Village","IL","1767769","=""1767769""","N/A"
"Saunemin","IL","1767795","=""1767795""","N/A"
"Savanna","IL","1767821","=""1767821""","4.13"
"Savoy","IL","1767860","=""1767860""","28.10"
"Sawyerville","IL","1767873","=""1767873""","N/A"
"Saybrook","IL","1767912","=""1767912""","N/A"
"Scales Mound","IL","1767925","=""1767925""","N/A"
"Schaumburg","IL","1768003","=""1768003""","N/A"
"Schiller Park","IL","1768081","=""1768081""","0.00"
"Schram City","IL","1768120","=""1768120""","N/A"
"Sciota","IL","1768198","=""1768198""","N/A"
"Scott AFB","IL","1768328","=""1768328""","0.00"
"Scottville","IL","1768406","=""1768406""","N/A"
"Seaton","IL","1768458","=""1768458""","N/A"
"Seatonville","IL","1768471","=""1768471""","N/A"
"Secor","IL","1768510","=""1768510""","N/A"
"Seneca","IL","1768640","=""1768640""","10.38"
"Sesser","IL","1768705","=""1768705""","16.78"
"Seymour","IL","1768809","=""1768809""","N/A"
"Shabbona","IL","1768822","=""1768822""","N/A"
"Shannon","IL","1768991","=""1768991""","N/A"
"Shawneetown","IL","1769082","=""1769082""","27.67"
"Sheffield","IL","1769147","=""1769147""","N/A"
"Shelbyville","IL","1769186","=""1769186""","25.03"
"Sheldon","IL","1769212","=""1769212""","0.00"
"Sheridan","IL","1769277","=""1769277""","0.00"
"Sherman","IL","1769342","=""1769342""","0.00"
"Sherrard","IL","1769368","=""1769368""","N/A"
"Shiloh","IL","1769524","=""1769524""","4.15"
"Shipman","IL","1769563","=""1769563""","N/A"
"Shorewood","IL","1769758","=""1769758""","12.40"
"Shumway","IL","1769797","=""1769797""","N/A"
"Sibley","IL","1769810","=""1769810""","N/A"
"Sidell","IL","1769836","=""1769836""","N/A"
"Sidney","IL","1769875","=""1769875""","0.00"
"Sigel","IL","1769914","=""1769914""","N/A"
"Silvis","IL","1769979","=""1769979""","60.41"
"Simpson","IL","1770005","=""1770005""","N/A"
"Sims","IL","1770031","=""1770031""","N/A"
"Skokie","IL","1770122","=""1770122""","N/A"
"Sleepy Hollow","IL","1770161","=""1770161""","0.00"
"Smithboro","IL","1770213","=""1770213""","N/A"
"Smithfield","IL","1770226","=""1770226""","N/A"
"Smithton","IL","1770252","=""1770252""","0.00"
"Somonauk","IL","1770460","=""1770460""","16.67"
"Sorento","IL","1770525","=""1770525""","N/A"
"South Barrington","IL","1770564","=""1770564""","0.00"
"South Beloit","IL","1770590","=""1770590""","7.94"
"South Chicago Heights","IL","1770629","=""1770629""","0.00"
"South Elgin","IL","1770720","=""1770720""","4.07"
"Southern View","IL","1770759","=""1770759""","0.00"
"South Holland","IL","1770850","=""1770850""","0.00"
"South Jacksonville","IL","1770889","=""1770889""","81.87"
"South Pekin","IL","1771175","=""1771175""","12.77"
"South Roxana","IL","1771240","=""1771240""","16.97"
"South Wilmington","IL","1771370","=""1771370""","N/A"
"Sparland","IL","1771422","=""1771422""","N/A"
"Sparta","IL","1771448","=""1771448""","8.70"
"Spaulding","IL","1771474","=""1771474""","N/A"
"Spillertown","IL","1771526","=""1771526""","N/A"
"Spring Bay","IL","1771604","=""1771604""","N/A"
"Springerton","IL","1771643","=""1771643""","N/A"
"Springfield","IL","1772000","=""1772000""","N/A"
"Spring Grove","IL","1772052","=""1772052""","0.00"
"Spring Valley","IL","1772156","=""1772156""","46.20"
"Standard","IL","1772221","=""1772221""","N/A"
"Standard City","IL","1772234","=""1772234""","N/A"
"Stanford","IL","1772260","=""1772260""","N/A"
"Staunton","IL","1772403","=""1772403""","11.16"
"Steeleville","IL","1772468","=""1772468""","14.73"
"Steger","IL","1772520","=""1772520""","7.55"
"Sterling","IL","1772546","=""1772546""","30.37"
"Steward","IL","1772624","=""1772624""","N/A"
"Stewardson","IL","1772650","=""1772650""","N/A"
"Stickney","IL","1772676","=""1772676""","0.00"
"Stillman Valley","IL","1772702","=""1772702""","N/A"
"Stockton","IL","1772780","=""1772780""","12.32"
"Stonefort","IL","1772884","=""1772884""","N/A"
"Stone Park","IL","1772923","=""1772923""","0.00"
"Stonington","IL","1772949","=""1772949""","N/A"
"Stoy","IL","1773027","=""1773027""","N/A"
"Strasburg","IL","1773040","=""1773040""","N/A"
"Strawn","IL","1773131","=""1773131""","N/A"
"Streamwood","IL","1773157","=""1773157""","0.00"
"Streator","IL","1773170","=""1773170""","36.69"
"Stronghurst","IL","1773261","=""1773261""","N/A"
"Sublette","IL","1773287","=""1773287""","N/A"
"Sugar Grove","IL","1773391","=""1773391""","13.27"
"Sullivan","IL","1773495","=""1773495""","17.86"
"Summerfield","IL","1773547","=""1773547""","N/A"
"Summit","IL","1773638","=""1773638""","0.00"
"Sumner","IL","1773703","=""1773703""","18.75"
"Sun River Terrace","IL","1773943","=""1773943""","N/A"
"Swansea","IL","1774119","=""1774119""","5.38"
"Sycamore","IL","1774223","=""1774223""","10.40"
"Symerton","IL","1774275","=""1774275""","N/A"
"Table Grove","IL","1774301","=""1774301""","N/A"
"Tallula","IL","1774379","=""1774379""","N/A"
"Tamaroa","IL","1774444","=""1774444""","N/A"
"Tamms","IL","1774457","=""1774457""","N/A"
"Tampico","IL","1774470","=""1774470""","N/A"
"Taylor Springs","IL","1774561","=""1774561""","N/A"
"Taylorville","IL","1774574","=""1774574""","52.72"
"Tennessee","IL","1774665","=""1774665""","N/A"
"Teutopolis","IL","1774743","=""1774743""","0.00"
"Thawville","IL","1774847","=""1774847""","N/A"
"Thayer","IL","1774860","=""1774860""","N/A"
"Thebes","IL","1774873","=""1774873""","N/A"
"The Galena Territory","IL","1774970","=""1774970""","0.00"
"Third Lake","IL","1775081","=""1775081""","0.00"
"Thomasboro","IL","1775107","=""1775107""","0.00"
"Thompsonville","IL","1775159","=""1775159""","N/A"
"Thomson","IL","1775172","=""1775172""","N/A"
"Thornton","IL","1775185","=""1775185""","15.38"
"Tilden","IL","1775263","=""1775263""","N/A"
"Tilton","IL","1775276","=""1775276""","0.00"
"Timberlane","IL","1775360","=""1775360""","0.00"
"Time","IL","1775419","=""1775419""","N/A"
"Tinley Park","IL","1775484","=""1775484""","N/A"
"Tiskilwa","IL","1775549","=""1775549""","N/A"
"Toledo","IL","1775601","=""1775601""","35.39"
"Tolono","IL","1775614","=""1775614""","175.68"
"Toluca","IL","1775653","=""1775653""","0.00"
"Tonica","IL","1775718","=""1775718""","N/A"
"Topeka","IL","1775757","=""1775757""","N/A"
"Toulon","IL","1775783","=""1775783""","28.68"
"Tovey","IL","1775809","=""1775809""","N/A"
"Towanda","IL","1775822","=""1775822""","N/A"
"Tower Hill","IL","1775848","=""1775848""","N/A"
"Tower Lakes","IL","1775874","=""1775874""","0.00"
"Tremont","IL","1775965","=""1775965""","0.00"
"Trenton","IL","1775991","=""1775991""","0.00"
"Trout Valley","IL","1776160","=""1776160""","N/A"
"Troy","IL","1776199","=""1776199""","12.20"
"Troy Grove","IL","1776225","=""1776225""","N/A"
"Tuscola","IL","1776407","=""1776407""","13.36"
"Twin Grove","IL","1776511","=""1776511""","0.00"
"Ullin","IL","1776615","=""1776615""","N/A"
"Union","IL","1776706","=""1776706""","N/A"
"Union Hill","IL","1776771","=""1776771""","N/A"
"University Park","IL","1776935","=""1776935""","32.66"
"Urbana","IL","1777005","=""1777005""","17.47"
"Ursa","IL","1777044","=""1777044""","N/A"
"Valier","IL","1777148","=""1777148""","N/A"
"Valley City","IL","1777187","=""1777187""","N/A"
"Valmeyer","IL","1777265","=""1777265""","40.51"
