"City","State","FIPS Code","Formatted FIPS","Mean travel time to work in minutes, according the US Census Bur"
"Carbon Hill","IL","1711176","=""1711176""","N/A"
"Carlinville","IL","1711202","=""1711202""","15.20"
"Carlock","IL","1711215","=""1711215""","N/A"
"Carlyle","IL","1711228","=""1711228""","24.10"
"Carmi","IL","1711293","=""1711293""","23.00"
"Carol Stream","IL","1711332","=""1711332""","29.50"
"Carpentersville","IL","1711358","=""1711358""","30.50"
"Carrier Mills","IL","1711397","=""1711397""","28.20"
"Carrollton","IL","1711462","=""1711462""","26.10"
"Carterville","IL","1711514","=""1711514""","19.90"
"Carthage","IL","1711527","=""1711527""","24.50"
"Cary","IL","1711592","=""1711592""","36.30"
"Casey","IL","1711618","=""1711618""","18.60"
"Caseyville","IL","1711644","=""1711644""","26.20"
"Catlin","IL","1711774","=""1711774""","21.10"
"Cave-In-Rock","IL","1711826","=""1711826""","N/A"
"Cedar Point","IL","1711982","=""1711982""","N/A"
"Cedarville","IL","1712008","=""1712008""","N/A"
"Central City","IL","1712151","=""1712151""","18.60"
"Centralia","IL","1712164","=""1712164""","17.80"
"Centreville","IL","1712203","=""1712203""","23.10"
"Cerro Gordo","IL","1712268","=""1712268""","24.60"
"Chadwick","IL","1712294","=""1712294""","N/A"
"Champaign","IL","1712385","=""1712385""","N/A"
"Chandlerville","IL","1712450","=""1712450""","N/A"
"Channahon","IL","1712476","=""1712476""","30.30"
"Channel Lake","IL","1712489","=""1712489""","38.60"
"Chapin","IL","1712528","=""1712528""","N/A"
"Charleston","IL","1712567","=""1712567""","13.60"
"Chatham","IL","1712684","=""1712684""","22.00"
"Chatsworth","IL","1712710","=""1712710""","N/A"
"Chebanse","IL","1712801","=""1712801""","24.70"
"Chemung","IL","1712879","=""1712879""","N/A"
"Chenoa","IL","1712931","=""1712931""","21.80"
"Cherry","IL","1712970","=""1712970""","N/A"
"Cherry Valley","IL","1713074","=""1713074""","21.90"
"Chester","IL","1713139","=""1713139""","19.30"
"Chesterfield","IL","1713165","=""1713165""","N/A"
"Chestnut","IL","1713230","=""1713230""","N/A"
"Chicago","IL","1714000","=""1714000""","N/A"
"Chicago Heights","IL","1714026","=""1714026""","26.10"
"Chicago Ridge","IL","1714065","=""1714065""","32.00"
"Chillicothe","IL","1714117","=""1714117""","20.20"
"Chrisman","IL","1714273","=""1714273""","22.50"
"Christopher","IL","1714286","=""1714286""","26.20"
"Cicero","IL","1714351","=""1714351""","N/A"
"Cisco","IL","1714442","=""1714442""","N/A"
"Cisne","IL","1714455","=""1714455""","N/A"
"Cissna Park","IL","1714468","=""1714468""","N/A"
"Claremont","IL","1714533","=""1714533""","N/A"
"Clarendon Hills","IL","1714572","=""1714572""","32.30"
"Clay City","IL","1714715","=""1714715""","N/A"
"Clayton","IL","1714767","=""1714767""","N/A"
"Clear Lake","IL","1714845","=""1714845""","N/A"
"Cleveland","IL","1714923","=""1714923""","N/A"
"Clifton","IL","1714936","=""1714936""","25.30"
"Clinton","IL","1715001","=""1715001""","18.80"
"Coal City","IL","1715170","=""1715170""","26.60"
"Coalton","IL","1715209","=""1715209""","N/A"
"Coal Valley","IL","1715235","=""1715235""","22.60"
"Coatsburg","IL","1715261","=""1715261""","N/A"
"Cobden","IL","1715300","=""1715300""","23.00"
"Coffeen","IL","1715352","=""1715352""","N/A"
"Colchester","IL","1715378","=""1715378""","20.60"
"Coleta","IL","1715469","=""1715469""","N/A"
"Colfax","IL","1715495","=""1715495""","30.90"
"Collinsville","IL","1715599","=""1715599""","25.40"
"Colona","IL","1715664","=""1715664""","23.80"
"Colp","IL","1715807","=""1715807""","N/A"
"Columbia","IL","1715833","=""1715833""","26.00"
"Columbus","IL","1715846","=""1715846""","N/A"
"Como","IL","1715950","=""1715950""","N/A"
"Compton","IL","1715989","=""1715989""","N/A"
"Concord","IL","1716054","=""1716054""","N/A"
"Congerville","IL","1716119","=""1716119""","N/A"
"Cooksville","IL","1716210","=""1716210""","N/A"
"Cordova","IL","1716366","=""1716366""","N/A"
"Cornell","IL","1716405","=""1716405""","N/A"
"Cornland","IL","1716431","=""1716431""","N/A"
"Cortland","IL","1716470","=""1716470""","N/A"
"Coulterville","IL","1716613","=""1716613""","N/A"
"Country Club Hills","IL","1716691","=""1716691""","36.20"
"Countryside","IL","1716873","=""1716873""","27.20"
"Cowden","IL","1717055","=""1717055""","N/A"
"Coyne Center","IL","1717077","=""1717077""","N/A"
"Crab Orchard","IL","1717094","=""1717094""","N/A"
"Crainville","IL","1717185","=""1717185""","19.40"
"Creal Springs","IL","1717289","=""1717289""","N/A"
"Crescent City","IL","1717406","=""1717406""","N/A"
"Crest Hill","IL","1717458","=""1717458""","31.50"
"Creston","IL","1717471","=""1717471""","N/A"
"Crestwood","IL","1717497","=""1717497""","30.50"
"Crete","IL","1717523","=""1717523""","30.70"
"Creve Coeur","IL","1717549","=""1717549""","24.30"
"Crossville","IL","1717783","=""1717783""","N/A"
"Crystal Lake","IL","1717887","=""1717887""","32.20"
"Crystal Lawns","IL","1717939","=""1717939""","33.60"
"Cuba","IL","1717991","=""1717991""","29.10"
"Cullom","IL","1718030","=""1718030""","N/A"
"Curran","IL","1718147","=""1718147""","N/A"
"Cutler","IL","1718225","=""1718225""","N/A"
"Cypress","IL","1718251","=""1718251""","N/A"
"Dahlgren","IL","1718303","=""1718303""","N/A"
"Dakota","IL","1718342","=""1718342""","N/A"
"Dallas City","IL","1718420","=""1718420""","26.00"
"Dalton City","IL","1718446","=""1718446""","N/A"
"Dalzell","IL","1718459","=""1718459""","N/A"
"Damiansville","IL","1718472","=""1718472""","N/A"
"Dana","IL","1718485","=""1718485""","N/A"
"Danforth","IL","1718498","=""1718498""","N/A"
"Danvers","IL","1718537","=""1718537""","25.10"
"Danville","IL","1718563","=""1718563""","14.10"
"Darien","IL","1718628","=""1718628""","30.90"
"Darmstadt","IL","1718641","=""1718641""","N/A"
"Davis","IL","1718706","=""1718706""","N/A"
"Davis Junction","IL","1718719","=""1718719""","30.30"
"Dawson","IL","1718745","=""1718745""","N/A"
"Dayton","IL","1718771","=""1718771""","N/A"
"Decatur","IL","1718823","=""1718823""","N/A"
"Deer Creek","IL","1718940","=""1718940""","N/A"
"Deerfield","IL","1718992","=""1718992""","29.00"
"Deer Grove","IL","1719031","=""1719031""","N/A"
"Deer Park","IL","1719083","=""1719083""","35.70"
"DeKalb","IL","1719161","=""1719161""","21.80"
"De Land","IL","1719200","=""1719200""","N/A"
"Delavan","IL","1719226","=""1719226""","30.40"
"De Pue","IL","1719499","=""1719499""","21.30"
"De Soto","IL","1719616","=""1719616""","21.10"
"Des Plaines","IL","1719642","=""1719642""","N/A"
"Detroit","IL","1719681","=""1719681""","N/A"
"De Witt","IL","1719798","=""1719798""","N/A"
"Diamond","IL","1719837","=""1719837""","26.50"
"Dieterich","IL","1719915","=""1719915""","N/A"
"Divernon","IL","1720045","=""1720045""","23.90"
"Dix","IL","1720123","=""1720123""","N/A"
"Dixmoor","IL","1720149","=""1720149""","27.20"
"Dixon","IL","1720162","=""1720162""","18.10"
"Dolton","IL","1720292","=""1720292""","38.20"
"Dongola","IL","1720305","=""1720305""","N/A"
"Donnellson","IL","1720318","=""1720318""","N/A"
"Donovan","IL","1720331","=""1720331""","N/A"
"Dorchester","IL","1720370","=""1720370""","N/A"
"Dover","IL","1720526","=""1720526""","N/A"
"Dowell","IL","1720565","=""1720565""","N/A"
"Downers Grove","IL","1720591","=""1720591""","29.20"
"Downs","IL","1720643","=""1720643""","N/A"
"Du Bois","IL","1720890","=""1720890""","N/A"
"Dunfermline","IL","1721098","=""1721098""","N/A"
"Dunlap","IL","1721176","=""1721176""","18.40"
"Dupo","IL","1721254","=""1721254""","22.60"
"Du Quoin","IL","1721267","=""1721267""","19.80"
"Durand","IL","1721280","=""1721280""","26.70"
"Dwight","IL","1721358","=""1721358""","20.70"
"Eagarville","IL","1721410","=""1721410""","N/A"
"Earlville","IL","1721540","=""1721540""","33.70"
"East Alton","IL","1721553","=""1721553""","25.30"
"East Brooklyn","IL","1721579","=""1721579""","N/A"
"East Cape Girardeau","IL","1721605","=""1721605""","N/A"
"East Carondelet","IL","1721618","=""1721618""","N/A"
"East Dubuque","IL","1721683","=""1721683""","15.80"
"East Dundee","IL","1721696","=""1721696""","28.50"
"East Galesburg","IL","1721826","=""1721826""","N/A"
"East Gillespie","IL","1721852","=""1721852""","N/A"
"East Hazel Crest","IL","1721904","=""1721904""","28.70"
"East Moline","IL","1722073","=""1722073""","19.90"
"Easton","IL","1722151","=""1722151""","N/A"
"East Peoria","IL","1722164","=""1722164""","19.60"
"East St. Louis","IL","1722255","=""1722255""","25.50"
"Eddyville","IL","1722398","=""1722398""","N/A"
"Edgewood","IL","1722567","=""1722567""","N/A"
"Edinburg","IL","1722645","=""1722645""","30.50"
"Edwardsville","IL","1722697","=""1722697""","23.50"
"Effingham","IL","1722736","=""1722736""","12.80"
"Elburn","IL","1722931","=""1722931""","32.80"
"El Dara","IL","1722957","=""1722957""","N/A"
"Eldorado","IL","1723009","=""1723009""","26.10"
"Eldred","IL","1723022","=""1723022""","N/A"
"Elgin","IL","1723074","=""1723074""","N/A"
"Elizabeth","IL","1723165","=""1723165""","N/A"
"Elizabethtown","IL","1723191","=""1723191""","N/A"
"Elk Grove Village","IL","1723256","=""1723256""","N/A"
"Elkhart","IL","1723269","=""1723269""","N/A"
"Elkville","IL","1723373","=""1723373""","29.20"
"Elliott","IL","1723425","=""1723425""","N/A"
"Ellis Grove","IL","1723503","=""1723503""","N/A"
"Ellisville","IL","1723529","=""1723529""","N/A"
"Ellsworth","IL","1723555","=""1723555""","N/A"
"Elmhurst","IL","1723620","=""1723620""","29.00"
"Elmwood","IL","1723698","=""1723698""","25.10"
"Elmwood Park","IL","1723724","=""1723724""","35.00"
"El Paso","IL","1723737","=""1723737""","20.50"
"Elsah","IL","1723776","=""1723776""","N/A"
"Elvaston","IL","1723841","=""1723841""","N/A"
"Elwood","IL","1723945","=""1723945""","29.00"
"Emden","IL","1723971","=""1723971""","N/A"
"Emington","IL","1724062","=""1724062""","N/A"
"Energy","IL","1724166","=""1724166""","17.10"
"Enfield","IL","1724179","=""1724179""","N/A"
"Equality","IL","1724348","=""1724348""","N/A"
"Erie","IL","1724374","=""1724374""","25.80"
"Essex","IL","1724452","=""1724452""","N/A"
"Eureka","IL","1724543","=""1724543""","17.00"
"Evanston","IL","1724582","=""1724582""","N/A"
"Evansville","IL","1724608","=""1724608""","N/A"
"Evergreen Park","IL","1724634","=""1724634""","35.70"
"Ewing","IL","1724673","=""1724673""","N/A"
"Exeter","IL","1724699","=""1724699""","N/A"
"Fairbury","IL","1724764","=""1724764""","16.50"
"Fairfield","IL","1724816","=""1724816""","19.90"
"Fairmont","IL","1724920","=""1724920""","28.20"
"Fairmont City","IL","1724933","=""1724933""","N/A"
"Fairmount","IL","1724985","=""1724985""","N/A"
"Fairview","IL","1725063","=""1725063""","N/A"
"Fairview Heights","IL","1725141","=""1725141""","23.70"
"Farina","IL","1725375","=""1725375""","N/A"
"Farmer City","IL","1725414","=""1725414""","25.40"
"Farmersville","IL","1725440","=""1725440""","N/A"
"Farmington","IL","1725531","=""1725531""","25.30"
"Fayetteville","IL","1725713","=""1725713""","N/A"
"Ferris","IL","1725895","=""1725895""","N/A"
"Fidelity","IL","1725960","=""1725960""","N/A"
"Fieldon","IL","1726012","=""1726012""","N/A"
"Fillmore","IL","1726077","=""1726077""","N/A"
"Findlay","IL","1726116","=""1726116""","N/A"
"Fisher","IL","1726194","=""1726194""","23.20"
"Fithian","IL","1726233","=""1726233""","N/A"
"Flanagan","IL","1726311","=""1726311""","20.30"
"Flat Rock","IL","1726350","=""1726350""","N/A"
"Flora","IL","1726454","=""1726454""","18.00"
"Floraville","IL","1726467","=""1726467""","N/A"
"Florence","IL","1726480","=""1726480""","N/A"
"Flossmoor","IL","1726571","=""1726571""","37.00"
"Foosland","IL","1726662","=""1726662""","N/A"
"Ford Heights","IL","1726710","=""1726710""","27.10"
"Forest City","IL","1726753","=""1726753""","N/A"
"Forest Lake","IL","1726896","=""1726896""","32.00"
"Forest Park","IL","1726935","=""1726935""","33.20"
"Forest View","IL","1726987","=""1726987""","N/A"
"Forrest","IL","1727026","=""1727026""","20.50"
"Forreston","IL","1727065","=""1727065""","25.60"
"Forsyth","IL","1727091","=""1727091""","21.80"
"Fox Lake","IL","1727442","=""1727442""","39.20"
"Fox Lake Hills","IL","1727455","=""1727455""","N/A"
"Fox River Grove","IL","1727533","=""1727533""","34.10"
"Frankfort","IL","1727624","=""1727624""","34.30"
"Frankfort Square","IL","1727644","=""1727644""","N/A"
"Franklin","IL","1727663","=""1727663""","N/A"
"Franklin Grove","IL","1727689","=""1727689""","26.60"
"Franklin Park","IL","1727702","=""1727702""","28.90"
"Freeburg","IL","1727806","=""1727806""","26.00"
"Freeman Spur","IL","1727858","=""1727858""","N/A"
"Freeport","IL","1727884","=""1727884""","17.80"
"Fulton","IL","1728144","=""1728144""","16.00"
"Fults","IL","1728170","=""1728170""","N/A"
"Gages Lake","IL","1728248","=""1728248""","29.80"
"Galatia","IL","1728261","=""1728261""","N/A"
"Galena","IL","1728300","=""1728300""","11.50"
"Galesburg","IL","1728326","=""1728326""","14.40"
"Galva","IL","1728430","=""1728430""","25.20"
"Garden Prairie","IL","1728612","=""1728612""","N/A"
"Gardner","IL","1728638","=""1728638""","31.30"
"Garrett","IL","1728742","=""1728742""","N/A"
"Gays","IL","1728807","=""1728807""","N/A"
"Geneseo","IL","1728846","=""1728846""","18.90"
"Geneva","IL","1728872","=""1728872""","30.90"
"Genoa","IL","1728898","=""1728898""","36.80"
"Georgetown","IL","1728950","=""1728950""","27.30"
"Georgetown","IL","1728963","=""1728963""","N/A"
"Germantown","IL","1729041","=""1729041""","23.40"
"Germantown Hills","IL","1729080","=""1729080""","N/A"
"German Valley","IL","1729093","=""1729093""","N/A"
"Gibson City","IL","1729125","=""1729125""","17.50"
"Gifford","IL","1729145","=""1729145""","N/A"
"Gilberts","IL","1729171","=""1729171""","35.90"
"Gillespie","IL","1729236","=""1729236""","23.50"
"Gilman","IL","1729275","=""1729275""","21.20"
"Gilson","IL","1729340","=""1729340""","N/A"
"Girard","IL","1729392","=""1729392""","29.30"
"Gladstone","IL","1729431","=""1729431""","N/A"
"Glasford","IL","1729483","=""1729483""","24.60"
"Glasgow","IL","1729496","=""1729496""","N/A"
"Glen Carbon","IL","1729639","=""1729639""","24.20"
"Glencoe","IL","1729652","=""1729652""","36.40"
"Glendale Heights","IL","1729730","=""1729730""","25.40"
"Glen Ellyn","IL","1729756","=""1729756""","29.90"
"Glenview","IL","1729938","=""1729938""","29.90"
"Glenwood","IL","1730029","=""1730029""","31.80"
"Godfrey","IL","1730094","=""1730094""","25.40"
"Godley","IL","1730120","=""1730120""","N/A"
"Golconda","IL","1730133","=""1730133""","N/A"
"Golden","IL","1730159","=""1730159""","N/A"
"Golden Gate","IL","1730250","=""1730250""","N/A"
"Golf","IL","1730328","=""1730328""","N/A"
"Goodfield","IL","1730445","=""1730445""","N/A"
"Good Hope","IL","1730458","=""1730458""","N/A"
"Goofy Ridge","IL","1730510","=""1730510""","N/A"
"Goreville","IL","1730575","=""1730575""","25.80"
"Gorham","IL","1730588","=""1730588""","N/A"
"Grafton","IL","1730653","=""1730653""","N/A"
"Grand Detour","IL","1730705","=""1730705""","N/A"
"Grand Ridge","IL","1730757","=""1730757""","N/A"
"Grand Tower","IL","1730770","=""1730770""","N/A"
"Grandview","IL","1730835","=""1730835""","20.50"
"Grandwood Park","IL","1730900","=""1730900""","30.20"
"Granite City","IL","1730926","=""1730926""","22.90"
"Grantfork","IL","1730978","=""1730978""","N/A"
"Grant Park","IL","1730991","=""1730991""","29.20"
"Granville","IL","1731017","=""1731017""","20.50"
"Grayslake","IL","1731121","=""1731121""","30.70"
"Grayville","IL","1731165","=""1731165""","21.70"
"Greenfield","IL","1731368","=""1731368""","26.60"
"Green Oaks","IL","1731446","=""1731446""","27.20"
"Greenup","IL","1731524","=""1731524""","19.30"
"Green Valley","IL","1731563","=""1731563""","N/A"
"Greenview","IL","1731576","=""1731576""","N/A"
"Greenville","IL","1731589","=""1731589""","17.70"
"Greenwood","IL","1731667","=""1731667""","N/A"
"Gridley","IL","1731732","=""1731732""","22.00"
"Griggsville","IL","1731771","=""1731771""","N/A"
"Gulf Port","IL","1731992","=""1731992""","N/A"
"Gurnee","IL","1732018","=""1732018""","27.20"
"Hainesville","IL","1732200","=""1732200""","32.40"
"Hamburg","IL","1732395","=""1732395""","N/A"
"Hamel","IL","1732408","=""1732408""","N/A"
"Hamilton","IL","1732434","=""1732434""","22.70"
"Hammond","IL","1732499","=""1732499""","N/A"
"Hampshire","IL","1732525","=""1732525""","34.10"
"Hampton","IL","1732564","=""1732564""","23.70"
"Hanaford","IL","1732616","=""1732616""","N/A"
"Hanna City","IL","1732668","=""1732668""","24.00"
"Hanover","IL","1732707","=""1732707""","N/A"
"Hanover Park","IL","1732746","=""1732746""","28.80"
"Hardin","IL","1732850","=""1732850""","N/A"
"Harmon","IL","1732967","=""1732967""","N/A"
"Harrisburg","IL","1733136","=""1733136""","18.70"
"Harrison","IL","1733162","=""1733162""","N/A"
"Harristown","IL","1733227","=""1733227""","19.20"
"Hartford","IL","1733279","=""1733279""","19.00"
"Hartsburg","IL","1733318","=""1733318""","N/A"
"Harvard","IL","1733331","=""1733331""","32.60"
"Harvel","IL","1733357","=""1733357""","N/A"
"Harvey","IL","1733383","=""1733383""","29.80"
"Harwood Heights","IL","1733435","=""1733435""","32.30"
"Havana","IL","1733513","=""1733513""","16.40"
"Hawthorn Woods","IL","1733630","=""1733630""","37.00"
"Hazel Crest","IL","1733695","=""1733695""","35.30"
"Hebron","IL","1733851","=""1733851""","26.10"
"Hecker","IL","1733877","=""1733877""","N/A"
"Henderson","IL","1734007","=""1734007""","N/A"
"Hennepin","IL","1734098","=""1734098""","N/A"
"Henning","IL","1734137","=""1734137""","N/A"
"Henry","IL","1734163","=""1734163""","21.80"
"Heritage Lake","IL","1734272","=""1734272""","28.80"
"Herrick","IL","1734332","=""1734332""","N/A"
"Herrin","IL","1734358","=""1734358""","21.30"
"Herscher","IL","1734384","=""1734384""","24.20"
"Hettick","IL","1734423","=""1734423""","N/A"
"Heyworth","IL","1734449","=""1734449""","24.50"
"Hickory Hills","IL","1734514","=""1734514""","33.00"
"Hidalgo","IL","1734553","=""1734553""","N/A"
"Highland","IL","1734670","=""1734670""","24.30"
"Highland Park","IL","1734722","=""1734722""","30.60"
"Highwood","IL","1734865","=""1734865""","23.00"
"Hillcrest","IL","1734982","=""1734982""","27.70"
"Hillsboro","IL","1735047","=""1735047""","17.70"
"Hillsdale","IL","1735073","=""1735073""","N/A"
"Hillside","IL","1735086","=""1735086""","27.70"
"Hillview","IL","1735203","=""1735203""","N/A"
"Hinckley","IL","1735268","=""1735268""","31.10"
"Hindsboro","IL","1735281","=""1735281""","N/A"
"Hinsdale","IL","1735307","=""1735307""","31.30"
"Hodgkins","IL","1735385","=""1735385""","24.90"
"Hoffman","IL","1735398","=""1735398""","N/A"
"Hoffman Estates","IL","1735411","=""1735411""","N/A"
"Holiday Hills","IL","1735515","=""1735515""","N/A"
"Holiday Shores","IL","1735541","=""1735541""","33.90"
"Hollowayville","IL","1735671","=""1735671""","N/A"
"Homer","IL","1735814","=""1735814""","N/A"
"Homer Glen","IL","1735835","=""1735835""","33.40"
"Hometown","IL","1735866","=""1735866""","31.20"
"Homewood","IL","1735879","=""1735879""","31.80"
"Hoopeston","IL","1736061","=""1736061""","26.30"
"Hooppole","IL","1736074","=""1736074""","N/A"
"Hopedale","IL","1736126","=""1736126""","21.60"
"Hopewell","IL","1736150","=""1736150""","N/A"
"Hopkins Park","IL","1736190","=""1736190""","N/A"
"Hoyleton","IL","1736347","=""1736347""","N/A"
"Hudson","IL","1736438","=""1736438""","21.60"
"Huey","IL","1736477","=""1736477""","N/A"
"Hull","IL","1736516","=""1736516""","N/A"
"Humboldt","IL","1736542","=""1736542""","N/A"
"Hume","IL","1736568","=""1736568""","N/A"
"Huntley","IL","1736750","=""1736750""","35.70"
"Hurst","IL","1736815","=""1736815""","N/A"
"Hutsonville","IL","1736841","=""1736841""","N/A"
"Illiopolis","IL","1737127","=""1737127""","N/A"
"Ina","IL","1737179","=""1737179""","26.40"
"Indian Creek","IL","1737218","=""1737218""","N/A"
"Indian Head Park","IL","1737257","=""1737257""","31.40"
"Indianola","IL","1737348","=""1737348""","N/A"
"Industry","IL","1737439","=""1737439""","N/A"
"Ingalls Park","IL","1737465","=""1737465""","26.50"
"Inverness","IL","1737608","=""1737608""","33.60"
"Iola","IL","1737621","=""1737621""","N/A"
"Ipava","IL","1737647","=""1737647""","N/A"
"Iroquois","IL","1737712","=""1737712""","N/A"
"Irving","IL","1737738","=""1737738""","N/A"
"Irvington","IL","1737777","=""1737777""","N/A"
"Irwin","IL","1737803","=""1737803""","N/A"
"Island Lake","IL","1737894","=""1737894""","35.50"
"Itasca","IL","1737907","=""1737907""","28.60"
"Iuka","IL","1737933","=""1737933""","N/A"
"Ivesdale","IL","1737998","=""1737998""","N/A"
"Jacksonville","IL","1738115","=""1738115""","16.50"
"Jeffersonville","IL","1738323","=""1738323""","N/A"
"Jeisyville","IL","1738349","=""1738349""","N/A"
"Jerome","IL","1738375","=""1738375""","18.20"
"Jerseyville","IL","1738414","=""1738414""","26.60"
"Jewett","IL","1738427","=""1738427""","N/A"
"Johnsburg","IL","1738479","=""1738479""","34.70"
"Johnsonville","IL","1738531","=""1738531""","N/A"
"Johnston City","IL","1738544","=""1738544""","20.50"
"Joliet","IL","1738570","=""1738570""","N/A"
"Jonesboro","IL","1738635","=""1738635""","25.70"
"Joppa","IL","1738674","=""1738674""","N/A"
"Joy","IL","1738739","=""1738739""","N/A"
"Junction","IL","1738778","=""1738778""","N/A"
"Junction City","IL","1738791","=""1738791""","N/A"
"Justice","IL","1738830","=""1738830""","30.40"
"Kampsville","IL","1738856","=""1738856""","N/A"
"Kane","IL","1738869","=""1738869""","N/A"
"Kaneville","IL","1738895","=""1738895""","N/A"
"Kangley","IL","1738921","=""1738921""","N/A"
"Kankakee","IL","1738934","=""1738934""","21.00"
"Kansas","IL","1738986","=""1738986""","N/A"
"Kappa","IL","1739038","=""1739038""","N/A"
"Karnak","IL","1739077","=""1739077""","N/A"
"Kaskaskia","IL","1739129","=""1739129""","N/A"
"Keenes","IL","1739233","=""1739233""","N/A"
"Keensburg","IL","1739259","=""1739259""","N/A"
"Keithsburg","IL","1739298","=""1739298""","N/A"
"Kell","IL","1739324","=""1739324""","N/A"
"Kempton","IL","1739441","=""1739441""","N/A"
"Kenilworth","IL","1739519","=""1739519""","36.70"
"Kenney","IL","1739532","=""1739532""","N/A"
"Kewanee","IL","1739727","=""1739727""","19.20"
"Keyesport","IL","1739753","=""1739753""","N/A"
"Kilbourne","IL","1739857","=""1739857""","N/A"
"Kildeer","IL","1739883","=""1739883""","33.90"
"Kincaid","IL","1739909","=""1739909""","27.60"
"Kinderhook","IL","1739922","=""1739922""","N/A"
"Kingston","IL","1740065","=""1740065""","34.70"
"Kingston Mines","IL","1740091","=""1740091""","N/A"
"Kinmundy","IL","1740117","=""1740117""","26.10"
"Kinsman","IL","1740143","=""1740143""","N/A"
"Kirkland","IL","1740156","=""1740156""","21.20"
"Kirkwood","IL","1740182","=""1740182""","N/A"
"Knollwood","IL","1740364","=""1740364""","N/A"
"Knoxville","IL","1740416","=""1740416""","30.70"
"Lacon","IL","1740559","=""1740559""","22.60"
"Ladd","IL","1740598","=""1740598""","16.80"
"La Fayette","IL","1740676","=""1740676""","N/A"
"La Grange","IL","1740767","=""1740767""","N/A"
"La Grange Park","IL","1740793","=""1740793""","30.60"
"La Harpe","IL","1740832","=""1740832""","26.10"
"Lake Barrington","IL","1740884","=""1740884""","36.50"
"Lake Bluff","IL","1740910","=""1740910""","30.90"
"Lake Camelot","IL","1740962","=""1740962""","25.30"
"Lake Catherine","IL","1740988","=""1740988""","31.00"
"Lake Forest","IL","1741105","=""1741105""","30.90"
"Lake Holiday","IL","1741157","=""1741157""","36.30"
"Lake in the Hills","IL","1741183","=""1741183""","35.50"
"Lake Ka-Ho","IL","1741214","=""1741214""","N/A"
"Lakemoor","IL","1741326","=""1741326""","42.00"
"Lake of the Woods","IL","1741346","=""1741346""","31.40"
"Lake Petersburg","IL","1741404","=""1741404""","N/A"
"Lake Summerset","IL","1741456","=""1741456""","38.50"
"Lake Villa","IL","1741586","=""1741586""","33.10"
"Lakewood","IL","1741651","=""1741651""","N/A"
"Lakewood Shores","IL","1741716","=""1741716""","30.90"
"Lake Zurich","IL","1741742","=""1741742""","32.20"
"La Moille","IL","1741794","=""1741794""","N/A"
"Lanark","IL","1741859","=""1741859""","23.40"
"Langleyville","IL","1742002","=""1742002""","N/A"
"Lansing","IL","1742028","=""1742028""","28.70"
"LaPlace","IL","1742067","=""1742067""","N/A"
"La Prairie","IL","1742080","=""1742080""","N/A"
"La Rose","IL","1742171","=""1742171""","N/A"
"LaSalle","IL","1742184","=""1742184""","18.10"
"Latham","IL","1742249","=""1742249""","N/A"
"Lawrenceville","IL","1742405","=""1742405""","16.20"
"Leaf River","IL","1742457","=""1742457""","N/A"
"Lebanon","IL","1742496","=""1742496""","24.80"
"Lee","IL","1742587","=""1742587""","N/A"
"Leland","IL","1742756","=""1742756""","N/A"
"Leland Grove","IL","1742769","=""1742769""","15.80"
"Lemont","IL","1742795","=""1742795""","34.20"
"Lena","IL","1742834","=""1742834""","22.20"
"Lenzburg","IL","1742860","=""1742860""","N/A"
"Leonore","IL","1742912","=""1742912""","N/A"
"Lerna","IL","1742938","=""1742938""","N/A"
"Le Roy","IL","1742971","=""1742971""","22.70"
"Lewistown","IL","1743055","=""1743055""","30.10"
"Lexington","IL","1743094","=""1743094""","27.60"
"Liberty","IL","1743133","=""1743133""","N/A"
"Libertyville","IL","1743250","=""1743250""","26.70"
"Lily Lake","IL","1743406","=""1743406""","38.70"
"Lima","IL","1743445","=""1743445""","N/A"
"Limestone","IL","1743510","=""1743510""","21.60"
"Lincoln","IL","1743536","=""1743536""","16.60"
"Lincolnshire","IL","1743666","=""1743666""","28.80"
"Lincolnwood","IL","1743744","=""1743744""","27.70"
"Lindenhurst","IL","1743770","=""1743770""","33.00"
"Lisbon","IL","1743900","=""1743900""","N/A"
"Lisle","IL","1743939","=""1743939""","29.20"
"Litchfield","IL","1743965","=""1743965""","19.70"
"Littleton","IL","1744056","=""1744056""","N/A"
"Little York","IL","1744082","=""1744082""","N/A"
"Liverpool","IL","1744121","=""1744121""","N/A"
"Livingston","IL","1744160","=""1744160""","N/A"
"Loami","IL","1744173","=""1744173""","N/A"
"Lockport","IL","1744225","=""1744225""","34.10"
"Loda","IL","1744264","=""1744264""","N/A"
"Lomax","IL","1744381","=""1744381""","N/A"
"Lombard","IL","1744407","=""1744407""","27.40"
"London Mills","IL","1744446","=""1744446""","N/A"
"Long Creek","IL","1744498","=""1744498""","20.90"
"Long Grove","IL","1744524","=""1744524""","33.70"
"Long Lake","IL","1744550","=""1744550""","35.10"
"Long Point","IL","1744576","=""1744576""","N/A"
"Longview","IL","1744602","=""1744602""","N/A"
"Loraine","IL","1744719","=""1744719""","N/A"
"Lostant","IL","1744823","=""1744823""","N/A"
"Lost Nation","IL","1744836","=""1744836""","N/A"
"Louisville","IL","1744927","=""1744927""","17.40"
"Loves Park","IL","1745031","=""1745031""","21.00"
"Lovington","IL","1745044","=""1745044""","24.70"
"Ludlow","IL","1745174","=""1745174""","N/A"
"Lyndon","IL","1745278","=""1745278""","N/A"
"Lynnville","IL","1745369","=""1745369""","N/A"
